# px1=60,90  px2=120,150  fps=30
frame,px1_raw,px1_denoised,px2_raw,px2_denoised
0,16211,16200.0,15613,15606.7
1,16195,16208.2,15609,15607.9
2,16208,16212.0,15594,15604.7
3,16195,16209.2,15600,15599.0
4,16206,16201.5,15597,15593.9
5,16190,16192.9,15586,15592.0
6,16180,16188.2,15590,15594.5
7,16182,16189.9,15598,15600.0
8,16197,16197.0,15598,15605.4
9,16204,16205.8,15602,15608.0
10,16211,16211.4,15610,15606.2
11,16212,16210.9,15605,15601.0
12,16191,16204.4,15592,15595.3
13,16198,16195.6,15597,15592.1
14,16176,16189.1,15594,15593.2
15,16198,16188.6,15597,15598.0
16,16193,16194.2,15607,15603.8
17,16205,16203.0,15613,15607.6
18,16211,16210.1,15608,15607.3
19,16206,16211.8,15602,15603.0
20,16217,16207.1,15595,15597.1
21,16197,16198.5,15589,15592.8
22,16197,16190.8,15586,15592.4
23,16195,16188.0,15589,15596.1
24,16183,16191.8,15604,15601.9
25,16201,16200.0,15609,15606.7
26,16217,16208.2,15605,15607.9
27,16216,16212.0,15597,15604.7
28,16219,16209.2,15604,15599.0
29,16206,16201.5,15595,15593.9
30,16187,16192.9,15589,15592.0
31,16192,16188.2,15594,15594.5
32,16191,16189.9,15589,15600.0
33,16198,16197.0,15600,15605.4
34,16197,16205.8,15607,15608.0
35,16197,16211.4,15612,15606.2
36,16218,16210.9,15601,15601.0
37,16196,16204.4,15588,15595.3
38,16194,16195.6,15573,15592.1
39,16191,16189.1,15599,15593.2
40,16186,16188.6,15594,15598.0
41,16196,16194.2,15607,15603.8
42,16212,16203.0,15608,15607.6
43,16205,16210.1,15604,15607.3
44,16213,16211.8,15615,15603.0
45,16204,16207.1,15589,15597.1
46,16192,16198.5,15576,15592.8
47,16193,16190.8,15581,15592.4
48,16178,16188.0,15580,15596.1
49,16183,16191.8,15606,15601.9
50,16190,16200.0,15593,15606.7
51,16210,16208.2,15605,15607.9
52,16215,16212.0,15611,15604.7
53,16209,16209.2,15589,15599.0
54,16201,16201.5,15598,15593.9
55,16188,16192.9,15581,15592.0
